folder	dataset	sample-id	ace	berger_parker_d	brillouin_d	chao1	dominance	doubles	mcintosh_d	menhinick	observed_features	pielou_evenness	robbins	shannon_entropy	simpson	singles	strong	enspie	faith_pd	fisher_alpha	gini_index	goods_coverage	heip_e	lladser_pe	margalef	sample-frequency	Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_biome	env_feature	env_material	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	Label	lat_lon	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	groups	city
153_italian	153_italian_O	sample-129	248.85596747022365	0.119795175852311	3.8388200608543457	244.07142857142856	0.0447483832804857	41	0.7977220637589973	2.785993032220792	240	0.7117478808163511	0.0025603018461123	5.627712625271099	0.9552516167195144	19	0.6617077662489332	22.34717606962326	21.439836136930406	47.44053962040182	0.9790853310038148	0.9974396981538876	0.2026929931935746	0.004215617452248	26.81756586183068	7421.0	SRR1298576	AMPLICON	577	7401877	PRJNA247489	SAMN02781444	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	16233048	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552838	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from omnivorous subject from Parma 34		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	34-PR-O-F	SRP042234	O	Parma
153_italian	153_italian_VG	sample-90	159.62112998936422	0.254828797190518	3.1347775658778128	156.83333333333334	0.1065021686999593	29	0.683783706767288	2.296359297415594	155	0.6340153759811054	0.0024143985952589	4.613174750495243	0.8934978313000407	11	0.689362485485287	9.389480159950786	13.31616930765361	31.02327461142108	0.9876704837879569	0.997585601404741	0.1524282126103592	0.0085302647936943	18.28066689616788	4556.0	SRR1298536	AMPLICON	574	4245013	PRJNA247489	SAMN02781553	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	9175520	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552798	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegetarian subject from Bologna 19		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	19-BO-VG-F	SRP042234	VG	Bologna
153_italian	153_italian_O	sample-42	257.38758746148955	0.0648348255634455	4.410015173923903	253.22222222222223	0.0205490909884653	53	0.8719718064285741	4.410301169568609	251	0.8229017263181018	0.0049397962334053	6.559796951966026	0.9794509090115346	16	0.5433689754719928	48.66395309463177	24.173157608843677	63.52909008022256	0.9649463435926372	0.9950602037665948	0.3733598054501619	0.015535393782426	30.92903425946648	3239.0	SRR1298488	AMPLICON	569	4826995	PRJNA247489	SAMN02781567	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	10286656	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552750	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from omnivorous subject from Bari 08		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	08-BA-O-F	SRP042234	O	Bari
153_italian	153_italian_V	sample-62	226.9105001355668	0.1548523206751055	4.221500480022015	224.77777777777777	0.0370846908437038	35	0.8193267168518471	3.2535602051351096	224	0.7972580340331585	0.0016877637130801	6.224476436158749	0.9629153091562962	8	0.5319168173598553	26.965305015338373	16.62646142138121	48.85237101323084	0.96984068092536	0.9983122362869198	0.3308278151189356	0.0066944228766223	26.34752709825184	4740.0	SRR1298508	AMPLICON	585	5295501	PRJNA247489	SAMN02781536	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	11318295	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552770	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegan subject from Torino 11		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	11-TO-V-F	SRP042234	V	Torino
153_italian	153_italian_VG	sample-21	326.85163517850896	0.1073782691898788	4.547482702047451	319.4776119402985	0.0249371456793811	66	0.8545458611361408	4.593281525123518	315	0.8117131943263495	0.005315755900489	6.736576650983992	0.9750628543206188	25	0.5295640405144977	40.10082039288206	24.7284039725412	76.08387208901452	0.9570915849751076	0.994684244099511	0.3364264769315604	0.0091851468493889	37.13359014448564	4703.0	SRR1298467	AMPLICON	482	2706693	PRJNA247489	SAMN02781552	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	6208565	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552729	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegetarian subject from Bologna 04		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	04-BO-VG-F	SRP042234	VG	Bologna
153_italian	153_italian_VG	sample-110	189.92258996098735	0.097576948264571	3.884883518417797	188.17241379310343	0.0385111220043152	57	0.8185697466199078	3.4019140188262518	188	0.7627834838428416	0.001637197118533	5.76251560328296	0.9614888779956848	5	0.6040943861555824	25.9665246805312	18.41440283079508	44.2479689383025	0.9781058758440032	0.998362802881467	0.2849533453780847	0.0127253240589135	23.304482135017437	3054.0	SRR1298557	AMPLICON	553	2788383	PRJNA247489	SAMN02781550	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	6104094	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552819	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegetarian subject from Parma 27		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	27-PR-VG-F	SRP042234	VG	Parma
153_italian	153_italian_O	sample-112	262.2461153773679	0.0853398354160317	4.383490214546719	257.35849056603774	0.0251570813865465	52	0.8563402300722575	4.416898364376447	253	0.8168782911768685	0.0067052727826882	6.52113414977221	0.9748429186134534	22	0.5284468125860596	39.75023909310784	17.756263814711456	63.93088392240198	0.964312814638094	0.9932947272173118	0.3604972623143004	0.0132626810582431	31.12685310219232	3281.0	SRR1298559	AMPLICON	522	3327008	PRJNA247489	SAMN02781435	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	7411425	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552821	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from omnivorous subject from Bologna 28		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	28-BO-O-F	SRP042234	O	Bologna
153_italian	153_italian_V	sample-133	197.29930062489976	0.0776228016979987	3.9983083555396495	191.5	0.0328269223201962	47	0.8333287755241492	3.2910651411804395	189	0.7826007290027964	0.0048514251061249	5.918216434091287	0.9671730776798038	16	0.5757457622224148	30.462800936558256	19.403992184166157	43.54427158531156	0.977186539386462	0.9951485748938752	0.3163451176928458	0.013683177030332	23.20680664620789	3298.0	SRR1298580	AMPLICON	867	6994755	PRJNA247489	SAMN02781544	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	17561158	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552842	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegan subject from Torino 35		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	35-TO-V-F	SRP042234	V	Torino
153_italian	153_italian_VG	sample-11	257.0405383022948	0.0654252642174131	4.371983544206856	251.93548387096772	0.0228003157919531	61	0.8626870944414561	3.965756797301079	250	0.8125626825133189	0.0040261701056869	6.472699046667463	0.9771996842080468	16	0.5488515349773528	43.85904165208649	21.227420265498345	59.22889047909008	0.9671843274386964	0.995973829894313	0.3526626716931736	0.0090737682598553	30.045145824852163	3974.0	SRR1298457	AMPLICON	575	3329864	PRJNA247489	SAMN02781468	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	7160432	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552719	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegetarian subject from Torino 02		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	02-TO-VG-F	SRP042234	VG	Torino
153_italian	153_italian_VG	sample-45	228.47119599892977	0.1075982996811902	4.0683411069492506	225.0	0.0356556210692267	39	0.8246138611511559	3.6184965848453863	222	0.772866914006636	0.004250797024442	6.024046137110366	0.9643443789307732	16	0.576715397650573	28.04606875472624	21.14680998063457	51.5843512171163	0.9732520429477078	0.995749202975558	0.2899351138666262	0.0081647036854137	26.84241769790667	3764.0	SRR1298491	AMPLICON	551	3456256	PRJNA247489	SAMN02781505	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	7602389	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552753	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegetarian subject from Parma 08		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	08-PR-VG-F	SRP042234	VG	Parma
153_italian	153_italian_V	sample-17	252.02342861497692	0.1204188481675392	4.178228760206718	247.94444444444449	0.0331265590307283	53	0.8314454411553459	3.9801865303970274	246	0.7798563696180473	0.0039267015706806	6.19402052777254	0.9668734409692716	15	0.5722938747712084	30.187258479590238	21.287506246145483	58.69972696736463	0.969974499007041	0.9960732984293194	0.294745404094078	0.0095736373480664	29.70415017444216	3820.0	SRR1298463	AMPLICON	534	3406299	PRJNA247489	SAMN02781526	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	7492371	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552725	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegan subject from Torino 03		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	03-TO-V-F	SRP042234	V	Torino
153_italian	153_italian_VG	sample-136	289.6791551651476	0.2549961568024596	3.8534502397050514	283.44776119402985	0.0770908944281611	66	0.7325015941959332	3.881408811009994	280	0.7007324556264221	0.0042275172943889	5.696452450946016	0.9229091055718388	22	0.6338668057538157	12.971700580434591	28.03571168273029	63.33674481189952	0.972621524556707	0.995772482705611	0.1822813001378275	0.012754903637764	32.60418822744068	5204.0	SRR1298583	AMPLICON	575	3875798	PRJNA247489	SAMN02781556	MIMS.me,MIGS/MIMS/MIMARKS.human-gut	8292116	UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI	2013	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	feces	feces	feces	SRX552845	Italy	Europe	Italy	Homo sapiens	454 GS Junior	fecal microbiota from vegetarian subject from Bologna 37		SINGLE	PCR	METAGENOMIC	human gut metagenome	LS454	2015-03-27T00:00:00Z	37-BO-VG-F	SRP042234	VG	Bologna
